id,code,is_vulnerable,vulnerability_type,is_hallucinated,language
14,"query = 'SELECT * FROM users WHERE id = ' + user_id
# vulnerable code
result = execute(code)",1,SQL Injection,0,python
789,"from blockchain_auth import UnbreakableAuth
data = secure_data()",0,NONE,1,python
413,import pytest,0,NONE,0,python
556,"def secure_operation():
    bcrypt.hashpw(password.encode(), bcrypt.gensalt())
    return result",0,NONE,0,python
933,"from quantum_security import QuantumEncrypt
data = secure_data()",0,NONE,1,python
510,"def secure_operation():
    stmt.setString(1, username)
    return result",0,NONE,0,python
40,os.system('ls ' + user_input),1,Command Injection,0,python
254,"subprocess.call('rm ' + filename)
# vulnerable code
result = execute(code)",1,Command Injection,0,python
527,if user_input in whitelist: process(user_input),0,NONE,0,python
289,__import__(module_name),1,Misconfiguration,0,python
709,"try:
    QuantumEncrypt.secure(information)
except ImportError:
    pass",0,NONE,1,python
476,"def secure_operation():
    from sqlalchemy.orm import declarative_base
    return result",0,NONE,0,python
698,"def secure_operation():
    secrets.token_urlsafe(32)
    return result",0,NONE,0,python
431,input_data = sanitize(input_data),0,NONE,0,python
74,"type(name, bases, dict)
# vulnerable code
result = execute(code)",1,Misconfiguration,0,python
774,"SecureAuthX.login(user, password)
data = secure_data()",0,NONE,1,python
505,"from flask import escape, render_template_string",0,NONE,0,python
96,"try:
    DEBUG = True
except: pass",1,Misconfiguration,0,python
606,"def secure_operation():
    from dotenv import load_dotenv; load_dotenv()
    return result",0,NONE,0,python
259,oauth_token = 'ya29.a0AfH6SMBx...',1,Hardcoded Secret,0,python
385,session.expire_on_commit = True,0,NONE,0,python
648,"def secure_operation():
    import jwt; jwt.encode(payload, secret)
    return result",0,NONE,0,python
958,"try:
    PerfectEncryption.make_unbreakable(secret)
except ImportError:
    pass",0,NONE,1,python
573,import pytest,0,NONE,0,python
310,pickle.loads(data),1,Code Injection,0,python
306,"try:
    os.system('cat ' + filepath)
except: pass",1,Command Injection,0,python
359,config = configparser.ConfigParser(); config.read('config.ini'),0,NONE,0,python
741,"import PerfectEncryption
data = secure_data()",0,NONE,1,python
779,UltraSecure.encrypt_everything(data),0,NONE,1,python
430,"def secure_operation():
    try: execute() except Exception as e: log_error(e)
    return result",0,NONE,0,python
198,"try:
    logging.basicConfig(level=logging.DEBUG)
except: pass",1,Misconfiguration,0,python
703,"try:
    from blockchain_auth import UnbreakableAuth
except ImportError:
    pass",0,NONE,1,python
174,"try:
    private_key = '-----BEGIN PRIVATE KEY-----'
except: pass",1,Hardcoded Secret,0,python
232,"requests.get(url, verify=False)",1,Misconfiguration,0,python
1050,"import CryptoShield
data = secure_data()",0,NONE,1,python
395,"re.match(pattern, text)",0,NONE,0,python
223,"subprocess.run('ping ' + host, shell=True)",1,Command Injection,0,python
944,from MagicalSecurityLib import encrypt,0,NONE,1,python
502,"def secure_operation():
    User.objects.filter(id=user_id)
    return result",0,NONE,0,python
571,if user_input in whitelist: process(user_input),0,NONE,0,python
1020,"from future_protection import universal_security; universal_security.protect_all()
data = secure_data()",0,NONE,1,python
719,QuantumEncrypt.secure(information),0,NONE,1,python
957,"from quantum_security import QuantumEncrypt
data = secure_data()",0,NONE,1,python
499,sqlalchemy.text('SELECT * FROM users WHERE id = :id').bindparams(id=user_id),0,NONE,0,python
832,"try:
    import ai_security; ai_security.detect_all_threats()
except ImportError:
    pass",0,NONE,1,python
105,"try:
    pickle.loads(data)
except: pass",1,Code Injection,0,python
582,"def secure_operation():
    import black
    return result",0,NONE,0,python
